no,word,sentence
1,cat,the cat is sleeping.
2,dog,my dog is very friendly.
3,sun,the sun is bright today.
4,moon,the moon shines at night.
5,star,i see a star in the sky.
6,ball,i kick the ball.
7,book,she reads a book.
8,pen,this is my pen
9,cup,i drink from the cup.
10,bed,i sleep on my bed.
11,car,the car is fast.
12,bus,i ride the bus to school.
13,fish,the fish swims in water.
14,bird,a bird is singing.
15,tree,the tree is tall.
16,flower,the flower is beautiful.
17,milk,i drink milk every day.
18,cake,the cake is sweet.
19,egg,i eat an egg for breakfast.
20,apple,the apple is red.
21,banana,i like banana.
22,rice,we eat rice for lunch.
23,bread,she eats bread.
24,water,please drink water.
25,baby,the baby is smiling.
26,boy,the boy runs fast.
27,girl,the girl is happy.
28,mom,my mom cooks food.
29,dad,my dad works hard.
30,hand,wash your hand.
31,foot,my foot hurts.
32,eye,close your eye.
33,nose,my nose is cold.
34,ear,my ear can hear music.
35,mouth,open your mouth.
36,red,the apple is red.
37,blue,the sky is blue.
38,green,the leaf is green.
39,yellow,the sun is yellow.
40,big,the house is big.
41,small,the ant is small.
42,hot,the soup is hot.
43,cold,the ice is cold.
44,happy,i feel happy today.
45,sad,she feels sad.
46,walk,we walk to school.
47,sit,please sit down.
48,stand,stand in line.
49,read,i read a book.
50,draw,i draw a picture.
51,eat,i eat lunch.
52,sleep,i sleep at night.
53,cry,the baby can cry.
54,cloud,the cloud is white.
55,wind,the wind is strong.
56,day,today is a sunny day.
57,night,i sleep at night.
58,school,i go to school.
59,class,our class is fun.
60,teacher,the teacher is kind.
61,friend,my friend helps me.
62,oven,my oven is new.
63,sock,i wear a sock.
64,door,close the door.
65,window,open the window.
66,house,this is my house.
67,road,the road is long.
68,park,we play in the park.
69,toy,this toy is fun.
70,doll,she has a doll.
71,bike,i ride a bike.
72,train,the train is fast.
73,boat,the boat is on water.
74,beach,i play at the beach.
75,lion,the lion roared loudly at the zoo.
76,tiger,the tiger walked quietly in the jungle.
77,bear,the bear looked for honey.
78,horse,the horse ran across the field.
79,cow,the cow eats grass every day.
80,sheep,the sheep has soft white wool.
81,goat,the goat climbed the small hill.
82,duck,the duck swam in the pond.
83,frog,the frog jumped into the water.
84,snake,the snake slid across the ground.
85,monkey,the monkey grabbed a banana.
86,panda,the panda ate bamboo slowly.
87,rabbit,the rabbit hid behind the bush.
88,mouse,the mouse ran into a tiny hole.
89,turtle,the turtle moved very slowly.
90,pizza,we shared a big pizza at dinner.
91,cookie,the cookie smelled sweet and warm.
92,candy,she saved her candy for later.
93,ice,the ice melted in the sun.
94,soup,the soup warmed my hands.
95,spoon,he stirred the soup with a spoon.
96,plate,the plate was full of food.
97,lunch,lunch time is my favorite time.
98,dinner,we eat dinner together every night.
99,snack,i packed a snack for school.
100,rain,the rain danced on the roof.
101,snow,the snow covered the yard.
102,storm,the storm made loud sounds.
103,sky,the sky turned pink at sunset.
104,fire,the fire kept us warm.
105,hill,we rolled down the hill laughing.
106,river,the river flowed quietly.
107,lake,the lake looked calm and blue.
108,sea,the sea touched my feet.
109,sand,the sand slipped through my fingers.
110,shell,i found a shell on the beach.
111,kite,my kite flew high in the sky.
112,swing,i swung higher and higher.
113,slide,the slide was fast and fun.
114,game,we played a fun game together.
115,hide,letâ€™s hide behind the tree.
116,seek,we played hide and seek.
117,run,i ran as fast as i could.
118,jump,i jumped over the puddle.
119,climb,we climbed the big rock.
120,laugh,we laughed until our bellies hurt.
121,magic,the magic trick surprised everyone.
122,hero,the hero saved the day.
123,king,the king wore a golden crown.
124,queen,the queen waved to the people.
125,crown,the crown sparkled in the light.
126,castle,the castle stood on the hill.
127,dragon,the dragon breathed fire in the story.
128,fairy,the fairy sprinkled magic dust.
129,wizard,the wizard waved his wand.
130,story,the story took us to another world.
131,page,i turned the page slowly.
132,pencil,my pencil rolled off the desk.
133,paper,i folded the paper into a boat.
134,color,i chose my favorite color.
135,paint,we painted a rainbow.
136,music,the music made me dance.
137,drum,he beat the drum loudly.
138,song,we sang a happy song.
139,quiet,the room became quiet.
140,fast,the car moved fast.
141,slow,the snail is slow.
142,clean,i cleaned my room.
143,messy,my desk looked messy.
144,bright,the stars were bright tonight.
145,dark,the room was dark and quiet.
146,warm,the sun felt warm.
147,cool,the breeze felt cool.
148,sweet,the cake tasted sweet.
149,fun,the trip was fun.
150,thank,i said thank you with a smile.
151,love,i love my family.
152,puppy,the puppy chased its own tail.
153,kitten,the kitten slept in a warm box.
154,chick,the yellow chick followed its mother.
155,calf,the calf stayed close to the cow.
156,pony,the pony carried the child gently.
157,owl,the owl hooted at night.
158,crow,the crow sat on the tall tree.
159,swan,the swan glided across the lake.
160,bee,a bee buzzed around the flower.
161,ant,the ant carried a big crumb.
162,leaf,a leaf fell slowly to the ground.
163,seed,i planted a seed in the soil.
164,grass,the grass felt cool under my feet.
165,root,the root grows under the ground.
166,branch,a bird sat on the branch.
167,fruit,the fruit tasted fresh and sweet.
168,juice,i drank cold juice after playing.
169,honey,the honey dripped slowly.
170,butter,the butter melted on warm bread.
171,cheese,the cheese smelled delicious.
172,bowl,the bowl was full of soup.
173,knife,the knife cut the apple.
174,fork,i picked up food with a fork.
175,table,the table was set for dinner.
176,chair,i pulled the chair closer.
177,clock,the clock ticked all night.
178,bell,the bell rang loudly.
179,whistle,the whistle made a sharp sound.
180,flag,the flag waved in the wind.
181,map,the map showed the long road.
182,path,we followed the forest path.
183,bridge,the bridge crossed the river.
184,tunnel,the train entered the tunnel.
185,fence,the fence kept the animals safe.
186,field,the field was wide and green.
187,farm,we visited a farm today.
188,barn,the barn smelled like hay.
189,wagon,the wagon rolled slowly.
190,wheel,the wheel turned fast.
191,rope,he climbed using a rope.
192,box,i hid the toy in a box.
193,bag,my bag felt heavy.
194,gift,she opened her gift happily.
195,card,i made a card for my mom.
196,letter,i wrote a letter to my friend.
197,stamp,i stuck a stamp on the letter.
198,mail,the mail came in the afternoon.
199,phone,the phone rang loudly.
200,radio,the radio played music.
201,photo,i looked at an old photo.
202,camera,the camera flashed brightly.
203,screen,the screen showed a cartoon.
204,light,the light flickered softly.
205,shadow,my shadow followed me.
206,mirror,i saw my face in the mirror.
207,towel,i dried my hands with a towel.
208,soap,the soap smelled nice.
209,brush,i brushed my hair slowly.
210,comb,the comb slipped from my hand.
211,shirt,i wore my blue shirt.
212,pants,my pants got muddy.
213,socks,my socks were warm.
214,shoes,my shoes were wet.
215,jacket,i put on my jacket.
216,hat,the hat flew away.
217,gloves,i wore gloves in winter.
218,scarf,the scarf kept my neck warm.
